state,consumption,renewable,expend
Alabama,19,11,24
Alaska,6,1,8
Arizona,14,7,22
Arkansas,11,5,14
California,79,59,136
Colorado,15,5,19
Connecticut,7,1,15
Delaware,3,0,4
Florida,42,5,68
Georgia,30,7,42
Hawaii,3,1,8
Idaho,5,10,7
Illinois,40,5,51
Indiana,29,4,33
Iowa,15,10,17
Kansas,12,3,15
Kentucky,19,3,23
Louisiana,41,4,47
Maine,4,8,7
Maryland,14,2,23
Massachusetts,14,2,27
Michigan,28,4,39
Minnesota,19,7,24
Mississippi,12,2,15
Missouri,19,3,27
Montana,4,10,6
Nebraska,9,2,10
Nevada,6,4,10
New Hampshire,3,3,6
New Jersey,24,1,43
New Mexico,7,2,9
New York,36,32,66
North Carolina,26,7,36
North Dakota,5,6,6
Ohio,38,1,51
Oklahoma,16,7,20
Oregon,10,35,15
Pennsylvania,37,7,55
Rhode Island,2,0,4
South Carolina,16,4,21
South Dakota,4,7,5
Tennessee,22,9,30
Texas,122,29,169
Utah,8,1,10
Vermont,1,2,3
Virginia,24,4,34
Washington,21,75,27
West Virginia,7,2,9
Wisconsin,18,5,24
Wyoming,6,4,5
