name,g,team,col
Theo Walcott,14,Arsenal,red
Santi Cazorla,12,Arsenal,red
Olivier Giroud,11,Arsenal,red
Lukas Podolski,11,Arsenal,red
Mikel Arteta,6,Arsenal,red
Gervinho,5,Arsenal,red
Per Mertesacker,3,Arsenal,red
Laurent Koscielny,2,Arsenal,red
Tomas Rosicky,2,Arsenal,red
Nacho Monreal,1,Arsenal,red
Aaron Ramsey,1,Arsenal,red
Alex Oxlade-Chamberlain,1,Arsenal,red
Christian Benteke,19,Aston Villa,maroon
Gabriel Agbonlahor,9,Aston Villa,maroon
Andreas Weimann,7,Aston Villa,maroon
Darren Bent,3,Aston Villa,maroon
Ron Vlaar,2,Aston Villa,maroon
Matthew Lowton,2,Aston Villa,maroon
Charles N'Zogbia,2,Aston Villa,maroon
Brett Holman,1,Aston Villa,maroon
Karim El Ahmadi,1,Aston Villa,maroon
Frank Lampard,15,Chelsea,blue
Juan Mata,12,Chelsea,blue
Eden Hazard,9,Chelsea,blue
Fernando Torres,8,Chelsea,blue
Ramires,5,Chelsea,blue
Branislav Ivanovic,5,Chelsea,blue
Oscar,4,Chelsea,blue
John Terry,4,Chelsea,blue
David Luiz,2,Chelsea,blue
Gary Cahill,2,Chelsea,blue
Demba Ba,2,Chelsea,blue
Victor Moses,1,Chelsea,blue
Ashley Cole,1,Chelsea,blue
Daniel Sturridge,1,Chelsea,blue
Marko Marin,1,Chelsea,blue
Marouane Fellaini,11,Everton,blue
Nikica Jelavic,7,Everton,blue
Victor Anichebe,6,Everton,blue
Steven Pienaar,6,Everton,blue
Kevin Mirallas,6,Everton,blue
Leon Osman,5,Everton,blue
Leighton Baines,5,Everton,blue
Steven Naismith,4,Everton,blue
Phil Jagielka,2,Everton,blue
Darron Gibson,1,Everton,blue
Dimitar Berbatov,15,Fulham,black
Bryan Ruiz,5,Fulham,black
Mladen Petric,5,Fulham,black
Steve Sidwell,4,Fulham,black
Alex Kacaniklic,4,Fulham,black
Damien Duff,3,Fulham,black
Hugo Rodallega,3,Fulham,black
Chris Baird,2,Fulham,black
Giorgos Karagounis,1,Fulham,black
Kieran Richardson,1,Fulham,black
Sascha Riether,1,Fulham,black
Urby Emanuelson,1,Fulham,black
Luis Suarez,23,Liverpool,red
Daniel Sturridge,10,Liverpool,red
Steven Gerrard,9,Liverpool,red
Jordan Henderson,5,Liverpool,red
Daniel Agger,3,Liverpool,red
Philippe Coutinho,3,Liverpool,red
Stewart Downing,3,Liverpool,red
Raheem Sterling,2,Liverpool,red
Jose Enrique,2,Liverpool,red
Martin Skrtel,2,Liverpool,red
Glen Johnson,1,Liverpool,red
Jonjo Shelvey,1,Liverpool,red
Nuri Sahin,1,Liverpool,red
Fabio Borini,1,Liverpool,red
Joe Cole,1,Liverpool,red
Edin Dzeko,14,Manchester City,deepskyblue
Sergio Aguero,12,Manchester City,deepskyblue
Carlos Tevez,11,Manchester City,deepskyblue
Yaya Toure,6,Manchester City,deepskyblue
David Silva,4,Manchester City,deepskyblue
James Milner,4,Manchester City,deepskyblue
Jack Rodwell,2,Manchester City,deepskyblue
Pablo Zabaleta,2,Manchester City,deepskyblue
Samir Nasri,2,Manchester City,deepskyblue
Javi Garcia,2,Manchester City,deepskyblue
Vincent Kompany,1,Manchester City,deepskyblue
Gareth Barry,1,Manchester City,deepskyblue
Mario Balotelli,1,Manchester City,deepskyblue
Joleon Lescott,1,Manchester City,deepskyblue
Aleksandar Kolarov,1,Manchester City,deepskyblue
Robin Van Persie,26,Manchester United,red
Wayne Rooney,12,Manchester United,red
Javier Hernandez,10,Manchester United,red
Shinji Kagawa,6,Manchester United,red
Patrice Evra,4,Manchester United,red
Rafael,3,Manchester United,red
Jonny Evans,3,Manchester United,red
Tom Cleverley,2,Manchester United,red
Ryan Giggs,2,Manchester United,red
Alexander Buttner,2,Manchester United,red
Michael Carrick,1,Manchester United,red
Rio Ferdinand,1,Manchester United,red
Danny Welbeck,1,Manchester United,red
Darren Fletcher,1,Manchester United,red
Nemanja Vidic,1,Manchester United,red
Antonio Valencia,1,Manchester United,red
Nick Powell,1,Manchester United,red
Nani,1,Manchester United,red
Anderson,1,Manchester United,red
Paul Scholes,1,Manchester United,red
Demba Ba,13,Newcastle United,black
Papiss Cisse,8,Newcastle United,black
Yohan Cabaye,6,Newcastle United,black
Hatem Ben Arfa,4,Newcastle United,black
Yoan Gouffran,3,Newcastle United,black
Moussa Sissoko,3,Newcastle United,black
James Perch,1,Newcastle United,black
Shola Ameobi,1,Newcastle United,black
Jonas Gutierrez,1,Newcastle United,black
Sylvain Marveaux,1,Newcastle United,black
Davide Santon,1,Newcastle United,black
Gael Bigirimana,1,Newcastle United,black
Grant Holt,8,Norwich City,green
Robert Snodgrass,6,Norwich City,green
Anthony Pilkington,5,Norwich City,green
Sebastien Bassong,3,Norwich City,green
Russell Martin,3,Norwich City,green
Wesley Hoolahan,3,Norwich City,green
Michael Turner,3,Norwich City,green
Jonathan Howson,2,Norwich City,green
Bradley Johnson,1,Norwich City,green
Steve Morison,1,Norwich City,green
Kei Kamara,1,Norwich City,green
Elliott Bennett,1,Norwich City,green
Ryan Bennett,1,Norwich City,green
Simeon Jackson,1,Norwich City,green
Steven Whittaker,1,Norwich City,green
Lo•c Remy,6,Queens Park Rangers,blue
Adel Taarabt,5,Queens Park Rangers,blue
Bobby Zamora,4,Queens Park Rangers,blue
Djibril Cisse,3,Queens Park Rangers,blue
Jamie Mackie,2,Queens Park Rangers,blue
Andros Townsend,2,Queens Park Rangers,blue
Jermaine Jenas,2,Queens Park Rangers,blue
Esteban Granero,1,Queens Park Rangers,blue
Junior Hoilett,1,Queens Park Rangers,blue
Ryan Nelsen,1,Queens Park Rangers,blue
Shaun Wright-Phillips,1,Queens Park Rangers,blue
Jay Bothroyd,1,Queens Park Rangers,blue
Adam Le Fondre,12,Reading,blue
Hal Robson-Kanu,7,Reading,blue
Pavel Pogrebnyak,5,Reading,blue
Jimmy Kebe,5,Reading,blue
Garath McCleary,3,Reading,blue
Sean Morrison,2,Reading,blue
Noel Hunt,2,Reading,blue
Kaspars Gorkss,1,Reading,blue
Danny Guthrie,1,Reading,blue
Jem Karacan,1,Reading,blue
Mikele Leigertwood,1,Reading,blue
Adrian Mariappa,1,Reading,blue
Rickie Lambert,15,Southampton,red
Jason Puncheon,6,Southampton,red
Jay Rodriguez,6,Southampton,red
Morgan Schneiderlin,5,Southampton,red
Gaston Ramirez,5,Southampton,red
Adam Lallana,3,Southampton,red
Jose Fonte,2,Southampton,red
Steven Davis,2,Southampton,red
Nathaniel Clyne,1,Southampton,red
Daniel Fox,1,Southampton,red
Jonathan Walters,8,Stoke City,red
Peter Crouch,7,Stoke City,red
Charlie Adam,3,Stoke City,red
Cameron Jerome,3,Stoke City,red
Kenwyne Jones,3,Stoke City,red
Michael Kightly,3,Stoke City,red
Steven Nzonzi,1,Stoke City,red
Matthew Upson,1,Stoke City,red
Michael Owen,1,Stoke City,red
Ryan Shawcross,1,Stoke City,red
Dean Whitehead,1,Stoke City,red
Robert Huth,1,Stoke City,red
Steven Fletcher,11,Sunderland,red
Stephane Sessegnon,7,Sunderland,red
Craig Gardner,6,Sunderland,red
Adam Johnson,5,Sunderland,red
John O'Shea,2,Sunderland,red
James McClean,2,Sunderland,red
David Vaughan,1,Sunderland,red
Fraizer Campbell,1,Sunderland,red
Carlos Cuellar,1,Sunderland,red
Danny Rose,1,Sunderland,red
Sebastian Larsson,1,Sunderland,red
Phil Bardsley,1,Sunderland,red
Michu,18,Swansea City,black
Jonathan De Guzman,5,Swansea City,black
Wayne Routledge,5,Swansea City,black
Angel Rangel,3,Swansea City,black
Luke Moore,3,Swansea City,black
Nathan Dyer,3,Swansea City,black
Pablo Hernandez,3,Swansea City,black
Danny Graham,3,Swansea City,black
Itay Shechter,1,Swansea City,black
Scott Sinclair,1,Swansea City,black
Dwight Tiendalli,1,Swansea City,black
Ben Davies,1,Swansea City,black
Gareth Bale,21,Tottenham Hotspur,navy
Jermain Defoe,11,Tottenham Hotspur,navy
Clint Dempsey,7,Tottenham Hotspur,navy
Emmanuel Adebayor,5,Tottenham Hotspur,navy
Aaron Lennon,4,Tottenham Hotspur,navy
Jan Vertonghen,4,Tottenham Hotspur,navy
Gylfi Sigurdsson,3,Tottenham Hotspur,navy
Steven Caulker,2,Tottenham Hotspur,navy
Michael Dawson,1,Tottenham Hotspur,navy
Moussa Dembele,1,Tottenham Hotspur,navy
William Gallas,1,Tottenham Hotspur,navy
Benoit Assou-Ekotto,1,Tottenham Hotspur,navy
Sandro,1,Tottenham Hotspur,navy
Romelu Lukaku,17,West Bromwich Albion,navy
Shane Long,8,West Bromwich Albion,navy
James Morrison,5,West Bromwich Albion,navy
Peter Odemwingie,5,West Bromwich Albion,navy
Zoltan Gera,4,West Bromwich Albion,navy
Gareth McAuley,3,West Bromwich Albion,navy
Marc-Antoine Fortune,2,West Bromwich Albion,navy
Chris Brunt,2,West Bromwich Albion,navy
Youssouf Mulumbu,2,West Bromwich Albion,navy
Graham Dorrans,1,West Bromwich Albion,navy
Billy Jones,1,West Bromwich Albion,navy
Kevin Nolan,10,West Ham United,maroon
Andy Carroll,7,West Ham United,maroon
Mark Noble,4,West Ham United,maroon
Mohamed Diame,3,West Ham United,maroon
Ricardo Vaz Te,3,West Ham United,maroon
Joey O'Brien,2,West Ham United,maroon
Joe Cole,2,West Ham United,maroon
Matthew Jarvis,2,West Ham United,maroon
Modibo Maiga,2,West Ham United,maroon
Carlton Cole,2,West Ham United,maroon
Jack Collison,2,West Ham United,maroon
Gary O'Neil,1,West Ham United,maroon
Winston Reid,1,West Ham United,maroon
James Tomkins,1,West Ham United,maroon
Matthew Taylor,1,West Ham United,maroon
Arouna Kone,11,Wigan Athletic,royalblue
Shaun Maloney,6,Wigan Athletic,royalblue
Franco Di Santo,5,Wigan Athletic,royalblue
Emmerson Boyce,4,Wigan Athletic,royalblue
Jordi Gomez,3,Wigan Athletic,royalblue
James McCarthy,3,Wigan Athletic,royalblue
James McArthur,3,Wigan Athletic,royalblue
Ivan Ramis,2,Wigan Athletic,royalblue
Callum McManaman,2,Wigan Athletic,royalblue
Ben Watson,1,Wigan Athletic,royalblue
Jean Beausejour,1,Wigan Athletic,royalblue
Maynor Figueroa,1,Wigan Athletic,royalblue
Gary Caldwell,1,Wigan Athletic,royalblue
Roger Espinoza,1,Wigan Athletic,royalblue
Angelo Henriquez,1,Wigan Athletic,royalblue
